County,2016,2015,2014,2013
"Starr County, Texas",37.21,36.175,38.54,38.836
"Zavala County, Texas",35.087,32.695,31.491,33.994
"Zapata County, Texas",33.882,37.28,36.35,34.362
"Willacy County, Texas",33.59,34.56,33.764,35.841
"Brooks County, Texas",32.673,37.751,34.694,35.841
"Cameron County, Texas",32.668,33.442,34.436,34.407
"Hudspeth County, Texas",32.491,35.796,38.965,41.544
"Hidalgo County, Texas",32.331,33.825,34.189,34.41
"Webb County, Texas",31.629,31.266,31.516,30.916
,,CU00AW01S16R,,
