state,percent
72,63.771
72,62.958
72,62.852
72,60.636
72,60.61
72,59.997
72,59.828
72,58.93
72,58.552
72,58.386
72,57.4
72,57.343
72,56.98
72,56.68
72,56.312
72,56.228
72,55.893
72,55.802
72,55.727
72,54.586
72,54.457
72,54.423
46,53.439
72,53.03
72,52.97
72,52.83
72,52.166
72,51.737
72,51.352
72,50.678
72,50.558
72,50.38
72,50.365
72,50.274
72,50.222
72,50.014
72,49.813
72,49.747
72,49.485
72,49.35
72,49.204
72,49.084
72,48.982
72,48.966
72,48.708
72,48.305
72,48.282
72,48.272
72,48.082
72,47.717
