state,percent
46,53.439
46,46.259
46,45.733
46,44.983
28,43.382
28,42.009
21,40.105
46,39.248
13,39.081
46,38.986
21,38.689
28,38.593
28,38.574
35,37.781
1,37.65
21,37.623
28,37.354
46,37.329
48,37.21
38,37.147
28,36.665
1,36.577
21,36.292
22,36.002
28,35.987
2,35.806
46,35.71
4,35.466
21,35.323
48,35.087
54,34.904
13,34.752
1,34.49
28,34.473
28,34.434
21,34.223
13,34.174
28,34.024
1,33.888
48,33.882
1,33.86
22,33.695
22,33.661
48,33.59
21,33.437
13,33.432
38,33.373
5,33.057
30,32.873
21,32.799
21,32.732
48,32.673
48,32.668
55,32.511
48,32.491
51,32.468
17,32.393
1,32.346
48,32.331
13,32.258
13,32.225
16,32.077
28,31.879
1,31.727
51,31.698
48,31.629
28,31.627
21,31.604
21,31.597
28,31.55
5,31.543
13,31.378
13,31.145
31,31.02
38,30.965
28,30.781
28,30.772
13,30.687
8,30.418
21,30.233
5,30.168
13,30.161
45,30.157
21,30.118
13,30.046
21,30.029
37,29.956
13,29.941
36,29.769
40,29.759
28,29.569
35,29.515
28,29.51
21,29.463
22,29.403
37,29.347
22,29.309
8,29.267
13,29.225
4,29.18
