state,percent
46,53.439
46,46.259
46,45.733
46,44.983
28,43.382
28,42.009
21,40.105
46,39.248
13,39.081
46,38.986
21,38.689
28,38.593
28,38.574
35,37.781
1,37.65
21,37.623
28,37.354
46,37.329
48,37.21
38,37.147
28,36.665
1,36.577
21,36.292
22,36.002
28,35.987
2,35.806
46,35.71
4,35.466
21,35.323
48,35.087
54,34.904
13,34.752
1,34.49
28,34.473
28,34.434
21,34.223
13,34.174
28,34.024
1,33.888
48,33.882
1,33.86
22,33.695
22,33.661
48,33.59
21,33.437
13,33.432
38,33.373
5,33.057
30,32.873
21,32.799
