state,percent
72,64.2
72,61.41
72,60.91
72,60.5
72,59.82
72,59.71
72,59.36
72,59.19
72,59.11
72,59.1
72,57.57
72,57.54
72,57.16
72,56.27
72,56.25
72,55.83
72,55.81
72,55.78
72,55.61
72,55.52
72,55.26
72,54.95
72,54.14
72,53.97
72,53.91
72,53.57
72,53.4
72,52.87
72,52.69
72,52.42
72,52.25
46,52.09
72,51.09
72,50.85
72,50.71
72,50.62
72,50.53
72,50.41
72,50.06
72,50.03
72,49.24
72,49.23
72,49.15
72,49.13
72,48.98
72,48.91
72,48.85
72,48.7
72,48.6
72,48.16
72,48.12
72,47.85
72,47.6
72,47.33
72,47.17
72,46.92
72,46.01
72,45.69
72,45.48
28,45.47
13,45.1
46,44.97
46,44.95
72,44.62
72,44.42
72,44.15
72,43.57
28,43.22
72,42.12
72,41.87
46,41.74
48,41.43
22,41.4
21,40.27
72,40
38,39.85
72,39.59
28,39.5
72,39.09
48,39.07
72,39.05
46,38.93
1,38.7
28,38.42
72,38.36
28,38.35
48,37.88
13,37.75
28,37.35
72,37.28
21,37.15
28,37.08
1,37.05
46,36.72
48,36.61
72,36.3
46,36.18
4,35.84
22,35.8
38,35.48
