state,name,value
72,"Maricao Municipio, Puerto Rico",4054
72,"Adjuntas Municipio, Puerto Rico",11645
72,"Guánica Municipio, Puerto Rico",11089
72,"Barranquitas Municipio, Puerto Rico",18032
72,"Peñuelas Municipio, Puerto Rico",13620
72,"Comerío Municipio, Puerto Rico",12145
72,"Ciales Municipio, Puerto Rico",10642
72,"Lajas Municipio, Puerto Rico",14632
72,"Patillas Municipio, Puerto Rico",10900
72,"Orocovis Municipio, Puerto Rico",13353
72,"Las Marías Municipio, Puerto Rico",5357
72,"Lares Municipio, Puerto Rico",16529
72,"Jayuya Municipio, Puerto Rico",9083
72,"San Sebastián Municipio, Puerto Rico",22775
72,"Corozal Municipio, Puerto Rico",20237
72,"Maunabo Municipio, Puerto Rico",6533
72,"Barceloneta Municipio, Puerto Rico",13828
72,"Guayanilla Municipio, Puerto Rico",11402
72,"Salinas Municipio, Puerto Rico",16746
72,"Isabela Municipio, Puerto Rico",24673
72,"Quebradillas Municipio, Puerto Rico",13928
72,"Morovis Municipio, Puerto Rico",17745
72,"Aguada Municipio, Puerto Rico",21982
72,"Moca Municipio, Puerto Rico",20947
72,"Florida Municipio, Puerto Rico",6689
72,"Villalba Municipio, Puerto Rico",13223
72,"Aguas Buenas Municipio, Puerto Rico",14789
46,"Oglala Lakota County, South Dakota",7482
72,"Arroyo Municipio, Puerto Rico",10020
72,"Naguabo Municipio, Puerto Rico",14051
72,"Utuado Municipio, Puerto Rico",16445
72,"Yabucoa Municipio, Puerto Rico",18899
72,"Yauco Municipio, Puerto Rico",20168
72,"Ponce Municipio, Puerto Rico",79360
72,"Juana Díaz Municipio, Puerto Rico",24979
72,"Cabo Rojo Municipio, Puerto Rico",25503
72,"Guayama Municipio, Puerto Rico",22083
72,"Mayagüez Municipio, Puerto Rico",42055
72,"Santa Isabel Municipio, Puerto Rico",11470
72,"San Germán Municipio, Puerto Rico",17074
72,"Coamo Municipio, Puerto Rico",19842
72,"Vega Alta Municipio, Puerto Rico",19358
72,"Las Piedras Municipio, Puerto Rico",18976
72,"Naranjito Municipio, Puerto Rico",14616
72,"Añasco Municipio, Puerto Rico",13997
72,"Cataño Municipio, Puerto Rico",13049
72,"Arecibo Municipio, Puerto Rico",45195
72,"Rincón Municipio, Puerto Rico",7228
72,"Camuy Municipio, Puerto Rico",16498
72,"San Lorenzo Municipio, Puerto Rico",19157
72,"Vega Baja Municipio, Puerto Rico",27360
72,"Aguadilla Municipio, Puerto Rico",27742
72,"Loíza Municipio, Puerto Rico",13543
72,"Juncos Municipio, Puerto Rico",18983
72,"Aibonito Municipio, Puerto Rico",11713
72,"Sabana Grande Municipio, Puerto Rico",11404
28,"Jefferson County, Mississippi",3490
72,"Manatí Municipio, Puerto Rico",19265
72,"Luquillo Municipio, Puerto Rico",8868
72,"Culebra Municipio, Puerto Rico",708
72,"Fajardo Municipio, Puerto Rico",15660
46,"Todd County, South Dakota",4471
46,"Corson County, South Dakota",1865
72,"Hatillo Municipio, Puerto Rico",18552
72,"Humacao Municipio, Puerto Rico",25043
46,"Mellette County, South Dakota",921
72,"Canóvanas Municipio, Puerto Rico",20667
72,"Ceiba Municipio, Puerto Rico",5536
21,"Wolfe County, Kentucky",3058
28,"Holmes County, Mississippi",7860
72,"San Juan Municipio, Puerto Rico",155011
72,"Cayey Municipio, Puerto Rico",19324
13,"Clay County, Georgia",1285
1,"Sumter County, Alabama",5372
1,"Greene County, Alabama",3479
28,"Leflore County, Mississippi",12558
46,"Bennett County, South Dakota",1361
28,"Claiborne County, Mississippi",3685
72,"Vieques Municipio, Puerto Rico",3569
72,"Cidra Municipio, Puerto Rico",16524
28,"Humphreys County, Mississippi",3508
46,"Ziebach County, South Dakota",1103
22,"East Carroll Parish, Louisiana",2903
28,"Quitman County, Mississippi",2982
72,"Río Grande Municipio, Puerto Rico",20341
72,"Toa Baja Municipio, Puerto Rico",32692
72,"Caguas Municipio, Puerto Rico",52367
48,"Brooks County, Texas",2726
21,"McCreary County, Kentucky",6723
48,"Zapata County, Texas",5334
35,"McKinley County, New Mexico",27493
72,"Hormigueros Municipio, Puerto Rico",6246
21,"Owsley County, Kentucky",1710
1,"Wilcox County, Alabama",4126
21,"Bell County, Kentucky",10233
21,"Clay County, Kentucky",7732
48,"Starr County, Texas",22663
4,"Apache County, Arizona",25852
48,"Hudspeth County, Texas",1192
28,"Noxubee County, Mississippi",3953
