the_geom,cartodb_id,tract,estimate_gross_rent___occupied_units_paying_rent___median_dol,geography
,178,48029170200,529,"Census Tract 1702, Bexar County, Texas"
,1,48029110100,656,"Census Tract 1101, Bexar County, Texas"
,2,48029110300,811,"Census Tract 1103, Bexar County, Texas"
,3,48029110500,335,"Census Tract 1105, Bexar County, Texas"
,4,48029110600,404,"Census Tract 1106, Bexar County, Texas"
,5,48029110700,326,"Census Tract 1107, Bexar County, Texas"
,6,48029110800,679,"Census Tract 1108, Bexar County, Texas"
,7,48029110900,1349,"Census Tract 1109, Bexar County, Texas"
,8,48029111000,769,"Census Tract 1110, Bexar County, Texas"
,9,48029120100,1582,"Census Tract 1201, Bexar County, Texas"
,10,48029120300,1307,"Census Tract 1203, Bexar County, Texas"
,11,48029120400,1603,"Census Tract 1204, Bexar County, Texas"
,12,48029120501,819,"Census Tract 1205.01, Bexar County, Texas"
,13,48029120502,570,"Census Tract 1205.02, Bexar County, Texas"
,14,48029120600,994,"Census Tract 1206, Bexar County, Texas"
,15,48029120701,742,"Census Tract 1207.01, Bexar County, Texas"
,16,48029120702,1333,"Census Tract 1207.02, Bexar County, Texas"
,17,48029120800,846,"Census Tract 1208, Bexar County, Texas"
,18,48029120901,691,"Census Tract 1209.01, Bexar County, Texas"
,19,48029120902,870,"Census Tract 1209.02, Bexar County, Texas"
,20,48029121000,782,"Census Tract 1210, Bexar County, Texas"
,21,48029121108,956,"Census Tract 1211.08, Bexar County, Texas"
,22,48029121110,1432,"Census Tract 1211.10, Bexar County, Texas"
,23,48029121111,1130,"Census Tract 1211.11, Bexar County, Texas"
,24,48029121112,1051,"Census Tract 1211.12, Bexar County, Texas"
,25,48029121115,1509,"Census Tract 1211.15, Bexar County, Texas"
,26,48029121116,801,"Census Tract 1211.16, Bexar County, Texas"
,27,48029121117,1068,"Census Tract 1211.17, Bexar County, Texas"
,28,48029121118,920,"Census Tract 1211.18, Bexar County, Texas"
,29,48029121119,966,"Census Tract 1211.19, Bexar County, Texas"
,30,48029121120,1089,"Census Tract 1211.20, Bexar County, Texas"
,31,48029121121,1625,"Census Tract 1211.21, Bexar County, Texas"
,32,48029121122,1478,"Census Tract 1211.22, Bexar County, Texas"
,33,48029121203,721,"Census Tract 1212.03, Bexar County, Texas"
,34,48029121204,866,"Census Tract 1212.04, Bexar County, Texas"
,35,48029121205,846,"Census Tract 1212.05, Bexar County, Texas"
,36,48029121206,1117,"Census Tract 1212.06, Bexar County, Texas"
,37,48029121300,1266,"Census Tract 1213, Bexar County, Texas"
,38,48029121402,1149,"Census Tract 1214.02, Bexar County, Texas"
,39,48029121403,825,"Census Tract 1214.03, Bexar County, Texas"
,40,48029121404,707,"Census Tract 1214.04, Bexar County, Texas"
,41,48029121501,1197,"Census Tract 1215.01, Bexar County, Texas"
,42,48029121504,1094,"Census Tract 1215.04, Bexar County, Texas"
,43,48029121505,1153,"Census Tract 1215.05, Bexar County, Texas"
,44,48029121506,938,"Census Tract 1215.06, Bexar County, Texas"
,45,48029121507,951,"Census Tract 1215.07, Bexar County, Texas"
,46,48029121508,1001,"Census Tract 1215.08, Bexar County, Texas"
,47,48029121601,768,"Census Tract 1216.01, Bexar County, Texas"
,48,48029121604,1077,"Census Tract 1216.04, Bexar County, Texas"
,49,48029121605,1013,"Census Tract 1216.05, Bexar County, Texas"
,50,48029121606,946,"Census Tract 1216.06, Bexar County, Texas"
,51,48029121701,885,"Census Tract 1217.01, Bexar County, Texas"
,52,48029121702,960,"Census Tract 1217.02, Bexar County, Texas"
,53,48029121802,1214,"Census Tract 1218.02, Bexar County, Texas"
,54,48029121803,1101,"Census Tract 1218.03, Bexar County, Texas"
,55,48029121804,976,"Census Tract 1218.04, Bexar County, Texas"
,56,48029121808,1194,"Census Tract 1218.08, Bexar County, Texas"
