campus,district,twoWay,oneWay,ell,all,isDualLanguage,longitude,latitude
DOBIE J H,SCHERTZ-CIBOLO-U CITY ISD,N/A,N/A,76.0,87.0,False,-98.25098881099996,29.56753300500003
SCHERTZ EL,SCHERTZ-CIBOLO-U CITY ISD,64.0,N/A,65.0,67.0,True,-98.26876350099997,29.55593290500008
LAURA INGALLS WILDER INT,SCHERTZ-CIBOLO-U CITY ISD,71.0,N/A,68.0,83.0,True,-98.27908071499996,29.58375889200005
CIBOLO VALLEY EL,SCHERTZ-CIBOLO-U CITY ISD,76.0,N/A,77.0,77.0,True,-98.22839273799997,29.60078413000007
IDEA CARVER COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,N/A,N/A,91.0,92.0,False,-98.47252333199998,29.421195526000076
IDEA SOUTH FLORES COLLEGE PREPARAT,IDEA PUBLIC SCHOOLS,N/A,N/A,87.0,89.0,False,-98.48841988599997,29.350582984000024
IDEA MONTERREY PARK COLLEGE PREPAR,IDEA PUBLIC SCHOOLS,N/A,N/A,74.0,82.0,False,-98.57919639099998,29.431910821000038
IDEA WALZEM COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,N/A,N/A,64.0,72.0,False,-98.36211820999996,29.502183124000045
IDEA EASTSIDE COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,N/A,N/A,72.0,76.0,False,-98.44478686999997,29.41343730700003
IDEA JUDSON COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,N/A,N/A,65.0,76.0,False,-98.36222414199995,29.56260826600004
IDEA MAYS COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,N/A,N/A,80.0,89.0,False,-98.65443194499996,29.424043795000046
IDEA BRACKENRIDGE COLLEGE PREPARAT,IDEA PUBLIC SCHOOLS,N/A,N/A,79.0,85.0,False,-98.60564236,29.352970850000077
IDEA EWING HALSELL COLLEGE PREPARA,IDEA PUBLIC SCHOOLS,N/A,N/A,89.0,84.0,False,-98.54193574899995,29.34552110100002
IDEA CARVER ACADEMY,IDEA PUBLIC SCHOOLS,N/A,N/A,66.0,84.0,False,-98.47252333199998,29.421195526000076
IDEA SOUTH FLORES ACADEMY,IDEA PUBLIC SCHOOLS,N/A,N/A,89.0,89.0,False,-98.48841988599997,29.350582984000024
IDEA MONTERREY PARK ACADEMY,IDEA PUBLIC SCHOOLS,N/A,N/A,69.0,76.0,False,-98.57919639099998,29.431910821000038
IDEA WALZEM ACADEMY,IDEA PUBLIC SCHOOLS,N/A,N/A,60.0,71.0,False,-98.36211820999996,29.502183124000045
GEORGE GERVIN ACADEMY,GEORGE GERVIN ACADEMY,N/A,N/A,83.0,73.0,False,-98.42867788199999,29.491480235000036
RUTH JONES MCCLENDON MIDDLE,GEORGE GERVIN ACADEMY,N/A,N/A,76.0,70.0,False,-98.42894980399996,29.492473998000037
DR HARMON W KELLEY EL,SCHOOL OF EXCELLENCE IN EDUCATION,N/A,N/A,49.0,64.0,False,-98.49441149999996,29.504311536000035
BEXAR COUNTY ACADEMY,BEXAR COUNTY ACADEMY,N/A,N/A,67.0,64.0,False,-98.57124245199998,29.467700904000026
