Results_Precinct,Velasquez,Nirenberg,Pina,Idrogo,Brockhouse,Atwood,Castanuela,Cecconi,Diaz,Total,Winner,Color,Velasquez percent,Nirenberg percent,Pina percent,Idrogo percent,Brockhouse percent,Atwood percent,Castanuela percent,Cecconi percent,Diaz percent
1001,0,135,2,0,23,1,0,2,3,166,Nirenberg,#2b83ba,0,0.813253012,0.012048193,0,0.138554217,0.006024096,0,0.012048193,0.018072289
1002,0,17,0,0,39,0,0,0,0,56,Brockhouse,#7fc97f,0,0.303571429,0,0,0.696428571,0,0,0,0
1003,2,170,1,1,50,2,1,0,2,229,Nirenberg,#2b83ba,0.008733624,0.742358079,0.004366812,0.004366812,0.218340611,0.008733624,0.004366812,0,0.008733624
1004,3,63,1,0,34,1,0,0,3,105,Nirenberg,#2b83ba,0.028571429,0.6,0.00952381,0,0.323809524,0.00952381,0,0,0.028571429
1005,2,45,4,0,17,1,0,0,1,70,Nirenberg,#2b83ba,0.028571429,0.642857143,0.057142857,0,0.242857143,0.014285714,0,0,0.014285714
1006,9,123,4,0,72,2,2,0,5,217,Nirenberg,#2b83ba,0.041474654,0.566820276,0.01843318,0,0.331797235,0.00921659,0.00921659,0,0.023041475
1007,7,86,1,0,66,1,0,0,3,164,Nirenberg,#2b83ba,0.042682927,0.524390244,0.006097561,0,0.402439024,0.006097561,0,0,0.018292683
1008,4,311,2,1,58,4,0,0,5,385,Nirenberg,#2b83ba,0.01038961,0.807792208,0.005194805,0.002597403,0.150649351,0.01038961,0,0,0.012987013
1010,2,59,2,2,19,0,0,0,1,85,Nirenberg,#2b83ba,0.023529412,0.694117647,0.023529412,0.023529412,0.223529412,0,0,0,0.011764706
1011,3,27,0,0,25,0,2,0,1,58,Nirenberg,#2b83ba,0.051724138,0.465517241,0,0,0.431034483,0,0.034482759,0,0.017241379
1012,6,80,6,2,91,0,3,1,4,193,Brockhouse,#7fc97f,0.031088083,0.414507772,0.031088083,0.010362694,0.471502591,0,0.015544041,0.005181347,0.020725389
1013,7,156,1,5,63,0,0,1,3,236,Nirenberg,#2b83ba,0.029661017,0.661016949,0.004237288,0.021186441,0.266949153,0,0,0.004237288,0.012711864
1014,6,61,1,0,29,0,1,0,4,102,Nirenberg,#2b83ba,0.058823529,0.598039216,0.009803922,0,0.284313725,0,0.009803922,0,0.039215686
1015,7,44,1,0,21,1,0,0,2,76,Nirenberg,#2b83ba,0.092105263,0.578947368,0.013157895,0,0.276315789,0.013157895,0,0,0.026315789
1016,4,43,5,0,39,0,0,0,0,91,Nirenberg,#2b83ba,0.043956044,0.472527473,0.054945055,0,0.428571429,0,0,0,0
1017,1,11,0,0,9,0,0,0,0,21,Nirenberg,#2b83ba,0.047619048,0.523809524,0,0,0.428571429,0,0,0,0
1018,3,118,1,2,83,1,2,0,10,220,Nirenberg,#2b83ba,0.013636364,0.536363636,0.004545455,0.009090909,0.377272727,0.004545455,0.009090909,0,0.045454545
1019,2,62,0,1,35,0,1,0,3,104,Nirenberg,#2b83ba,0.019230769,0.596153846,0,0.009615385,0.336538462,0,0.009615385,0,0.028846154
1020,13,144,3,1,125,2,0,2,16,306,Nirenberg,#2b83ba,0.04248366,0.470588235,0.009803922,0.003267974,0.408496732,0.006535948,0,0.006535948,0.052287582
1021,4,107,4,0,47,5,1,2,4,174,Nirenberg,#2b83ba,0.022988506,0.614942529,0.022988506,0,0.270114943,0.028735632,0.005747126,0.011494253,0.022988506
1022,4,42,1,1,32,0,2,2,1,85,Nirenberg,#2b83ba,0.047058824,0.494117647,0.011764706,0.011764706,0.376470588,0,0.023529412,0.023529412,0.011764706
1023,18,128,4,1,56,1,2,1,11,222,Nirenberg,#2b83ba,0.081081081,0.576576577,0.018018018,0.004504505,0.252252252,0.004504505,0.009009009,0.004504505,0.04954955
1024,4,109,2,2,159,2,1,2,2,283,Brockhouse,#7fc97f,0.014134276,0.385159011,0.007067138,0.007067138,0.561837456,0.007067138,0.003533569,0.007067138,0.007067138
1025,3,21,1,0,4,0,0,0,4,33,Nirenberg,#2b83ba,0.090909091,0.636363636,0.03030303,0,0.121212121,0,0,0,0.121212121
1026,7,59,0,0,33,0,2,1,2,104,Nirenberg,#2b83ba,0.067307692,0.567307692,0,0,0.317307692,0,0.019230769,0.009615385,0.019230769
1028,3,37,0,1,33,0,0,0,0,74,Nirenberg,#2b83ba,0.040540541,0.5,0,0.013513514,0.445945946,0,0,0,0
1029,5,119,0,2,60,0,0,0,4,190,Nirenberg,#2b83ba,0.026315789,0.626315789,0,0.010526316,0.315789474,0,0,0,0.021052632
1030,0,0,0,0,2,0,0,0,0,2,Brockhouse,#7fc97f,0,0,0,0,1,0,0,0,0
1031,3,72,1,1,44,2,0,0,3,126,Nirenberg,#2b83ba,0.023809524,0.571428571,0.007936508,0.007936508,0.349206349,0.015873016,0,0,0.023809524
1032,6,105,0,0,44,0,3,2,5,165,Nirenberg,#2b83ba,0.036363636,0.636363636,0,0,0.266666667,0,0.018181818,0.012121212,0.03030303
1033,5,51,2,0,50,1,0,3,1,113,Nirenberg,#2b83ba,0.044247788,0.451327434,0.017699115,0,0.442477876,0.008849558,0,0.026548673,0.008849558
1036,7,153,5,2,166,5,2,4,9,353,Brockhouse,#7fc97f,0.019830028,0.433427762,0.014164306,0.005665722,0.470254958,0.014164306,0.005665722,0.011331445,0.025495751
1037,9,103,0,0,84,0,0,0,5,201,Nirenberg,#2b83ba,0.044776119,0.512437811,0,0,0.417910448,0,0,0,0.024875622
