Results_Precinct,Nirenberg,Brockhouse,Total,Winner,Color,Nirenberg percent,Brockhouse percent
1001,172,26,198,Nirenberg,#2b83ba,0.868686869,0.131313131
1002,27,50,77,Brockhouse,#7fc97f,0.350649351,0.649350649
1003,253,56,309,Nirenberg,#2b83ba,0.818770227,0.181229773
1004,59,31,90,Nirenberg,#2b83ba,0.655555556,0.344444444
1005,49,35,84,Nirenberg,#2b83ba,0.583333333,0.416666667
1006,151,99,250,Nirenberg,#2b83ba,0.604,0.396
1007,103,74,177,Nirenberg,#2b83ba,0.581920904,0.418079096
1008,376,70,446,Nirenberg,#2b83ba,0.843049327,0.156950673
1010,79,30,109,Nirenberg,#2b83ba,0.724770642,0.275229358
1011,27,35,62,Brockhouse,#7fc97f,0.435483871,0.564516129
1012,112,135,247,Brockhouse,#7fc97f,0.453441296,0.546558704
1013,170,111,281,Nirenberg,#2b83ba,0.604982206,0.395017794
1014,62,31,93,Nirenberg,#2b83ba,0.666666667,0.333333333
1015,53,36,89,Nirenberg,#2b83ba,0.595505618,0.404494382
1016,44,42,86,Nirenberg,#2b83ba,0.511627907,0.488372093
1017,8,10,18,Brockhouse,#7fc97f,0.444444444,0.555555556
1018,114,102,216,Nirenberg,#2b83ba,0.527777778,0.472222222
1019,67,36,103,Nirenberg,#2b83ba,0.650485437,0.349514563
1020,141,128,269,Nirenberg,#2b83ba,0.524163569,0.475836431
1021,94,53,147,Nirenberg,#2b83ba,0.639455782,0.360544218
1022,40,39,79,Nirenberg,#2b83ba,0.506329114,0.493670886
1023,126,65,191,Nirenberg,#2b83ba,0.659685864,0.340314136
1024,150,197,347,Brockhouse,#7fc97f,0.432276657,0.567723343
1025,25,12,37,Nirenberg,#2b83ba,0.675675676,0.324324324
1026,62,47,109,Nirenberg,#2b83ba,0.568807339,0.431192661
1028,58,50,108,Nirenberg,#2b83ba,0.537037037,0.462962963
1029,133,81,214,Nirenberg,#2b83ba,0.621495327,0.378504673
1030,0,1,1,Brockhouse,#7fc97f,0,1
1031,91,63,154,Nirenberg,#2b83ba,0.590909091,0.409090909
1032,111,86,197,Nirenberg,#2b83ba,0.563451777,0.436548223
1033,71,86,157,Brockhouse,#7fc97f,0.452229299,0.547770701
1036,185,238,423,Brockhouse,#7fc97f,0.437352246,0.562647754
1037,137,118,255,Nirenberg,#2b83ba,0.537254902,0.462745098
1038,156,176,332,Brockhouse,#7fc97f,0.469879518,0.530120482
1039,59,94,153,Brockhouse,#7fc97f,0.385620915,0.614379085
1040,136,89,225,Nirenberg,#2b83ba,0.604444444,0.395555556
1041,90,89,179,Nirenberg,#2b83ba,0.502793296,0.497206704
1042,48,51,99,Brockhouse,#7fc97f,0.484848485,0.515151515
1043,78,106,184,Brockhouse,#7fc97f,0.423913043,0.576086957
1044,122,101,223,Nirenberg,#2b83ba,0.547085202,0.452914798
1045,157,150,307,Nirenberg,#2b83ba,0.511400651,0.488599349
1046,123,70,193,Nirenberg,#2b83ba,0.637305699,0.362694301
1047,59,68,127,Brockhouse,#7fc97f,0.464566929,0.535433071
1048,96,101,197,Brockhouse,#7fc97f,0.487309645,0.512690355
1049,123,124,247,Brockhouse,#7fc97f,0.497975709,0.502024291
1050,84,79,163,Nirenberg,#2b83ba,0.515337423,0.484662577
1051,106,130,236,Brockhouse,#7fc97f,0.449152542,0.550847458
1052,108,88,196,Nirenberg,#2b83ba,0.551020408,0.448979592
1053,17,11,28,Nirenberg,#2b83ba,0.607142857,0.392857143
1054,156,122,278,Nirenberg,#2b83ba,0.561151079,0.438848921
1055,175,194,369,Brockhouse,#7fc97f,0.474254743,0.525745257
1056,129,154,283,Brockhouse,#7fc97f,0.455830389,0.544169611
1057,0,2,2,Brockhouse,#7fc97f,0,1
1058,1,7,8,Brockhouse,#7fc97f,0.125,0.875
1059,6,16,22,Brockhouse,#7fc97f,0.272727273,0.727272727
1060,107,78,185,Nirenberg,#2b83ba,0.578378378,0.421621622
1061,81,78,159,Nirenberg,#2b83ba,0.509433962,0.490566038
