Results_Precinct,Taylor,Nirenberg,Total,Over votes,Under votes,Winner,Tie test Taylor,Tie test Nirenberg,Tie result,Color,Taylor percent,Nirenberg percent,Registered_Voters,Ballots_Cast,Voter_Turnout,
1001,38,151,189,0,0,Nirenberg,0,1,OK,#2b83ba,0.201058201,0.798941799,710,189,0.266197183,
1002,28,21,49,0,0,Taylor,1,0,OK,#d7191c,0.571428571,0.428571429,645,49,0.075968992,
1003,43,196,239,0,1,Nirenberg,0,1,OK,#2b83ba,0.179916318,0.820083682,1786,240,0.134378499,
1004,33,66,99,0,0,Nirenberg,0,1,OK,#2b83ba,0.333333333,0.666666667,893,99,0.110862262,
1005,18,43,61,0,0,Nirenberg,0,1,OK,#2b83ba,0.295081967,0.704918033,771,61,0.079118029,
1006,71,178,249,0,1,Nirenberg,0,1,OK,#2b83ba,0.285140562,0.714859438,2121,250,0.11786893,
1007,44,124,168,0,0,Nirenberg,0,1,OK,#2b83ba,0.261904762,0.738095238,1275,168,0.131764706,
1008,73,351,424,0,2,Nirenberg,0,1,OK,#2b83ba,0.172169811,0.827830189,1835,426,0.232152589,
1010,16,89,105,0,0,Nirenberg,0,1,OK,#2b83ba,0.152380952,0.847619048,666,105,0.157657658,
1011,22,25,47,0,0,Nirenberg,0,1,OK,#2b83ba,0.468085106,0.531914894,535,47,0.087850467,
1012,89,115,204,0,3,Nirenberg,0,1,OK,#2b83ba,0.43627451,0.56372549,2132,207,0.097091932,
1013,65,177,242,0,0,Nirenberg,0,1,OK,#2b83ba,0.268595041,0.731404959,2388,242,0.101340034,
1014,33,46,79,0,0,Nirenberg,0,1,OK,#2b83ba,0.417721519,0.582278481,1334,79,0.05922039,
1015,28,50,78,0,1,Nirenberg,0,1,OK,#2b83ba,0.358974359,0.641025641,1432,79,0.055167598,
1016,28,61,89,0,0,Nirenberg,0,1,OK,#2b83ba,0.314606742,0.685393258,1182,89,0.075296108,
1017,11,12,23,0,0,Nirenberg,0,1,OK,#2b83ba,0.47826087,0.52173913,184,23,0.125,
1018,65,112,177,0,0,Nirenberg,0,1,OK,#2b83ba,0.367231638,0.632768362,2303,177,0.076856274,
1019,30,66,96,0,0,Nirenberg,0,1,OK,#2b83ba,0.3125,0.6875,842,96,0.114014252,
1020,93,159,252,0,1,Nirenberg,0,1,OK,#2b83ba,0.369047619,0.630952381,2263,253,0.111798498,
1021,48,96,144,0,0,Nirenberg,0,1,OK,#2b83ba,0.333333333,0.666666667,1756,144,0.082004556,
1022,27,52,79,0,1,Nirenberg,0,1,OK,#2b83ba,0.341772152,0.658227848,983,80,0.08138352,
1023,71,83,154,0,1,Nirenberg,0,1,OK,#2b83ba,0.461038961,0.538961039,2572,155,0.060264386,
1024,129,120,249,0,1,Taylor,1,0,OK,#d7191c,0.518072289,0.481927711,3026,250,0.082617317,
1025,8,23,31,0,0,Nirenberg,0,1,OK,#2b83ba,0.258064516,0.741935484,724,31,0.04281768,
1026,30,70,100,0,1,Nirenberg,0,1,OK,#2b83ba,0.3,0.7,1303,101,0.077513431,
1027,5,20,25,0,0,Nirenberg,0,1,OK,#2b83ba,0.2,0.8,306,25,0.081699346,
1028,34,57,91,0,0,Nirenberg,0,1,OK,#2b83ba,0.373626374,0.626373626,989,91,0.092012133,
1029,47,122,169,0,0,Nirenberg,0,1,OK,#2b83ba,0.278106509,0.721893491,1621,169,0.104256632,
1030,3,3,6,0,0,Tie,1,1,Tie,#4daf4a,0.5,0.5,71,6,0.084507042,
1031,45,62,107,0,1,Nirenberg,0,1,OK,#2b83ba,0.420560748,0.579439252,1501,108,0.071952032,
1032,53,134,187,0,1,Nirenberg,0,1,OK,#2b83ba,0.28342246,0.71657754,2485,188,0.075653924,
1033,55,55,110,0,1,Tie,1,1,Tie,#4daf4a,0.5,0.5,1966,111,0.056459817,
1036,181,152,333,0,1,Taylor,1,0,OK,#d7191c,0.543543544,0.456456456,3348,334,0.099761051,
1037,84,101,185,0,0,Nirenberg,0,1,OK,#2b83ba,0.454054054,0.545945946,2439,185,0.075850759,
1038,134,124,258,0,1,Taylor,1,0,OK,#d7191c,0.519379845,0.480620155,2743,259,0.094422166,
1039,33,45,78,0,0,Nirenberg,0,1,OK,#2b83ba,0.423076923,0.576923077,2995,78,0.026043406,
1040,34,86,120,0,0,Nirenberg,0,1,OK,#2b83ba,0.283333333,0.716666667,2316,120,0.051813472,
1041,29,90,119,0,0,Nirenberg,0,1,OK,#2b83ba,0.243697479,0.756302521,2346,119,0.050724638,
1042,31,54,85,0,0,Nirenberg,0,1,OK,#2b83ba,0.364705882,0.635294118,1206,85,0.070480929,
1043,44,88,132,0,1,Nirenberg,0,1,OK,#2b83ba,0.333333333,0.666666667,1457,133,0.091283459,
1044,57,156,213,0,0,Nirenberg,0,1,OK,#2b83ba,0.267605634,0.732394366,2078,213,0.102502406,
1045,60,163,223,0,0,Nirenberg,0,1,OK,#2b83ba,0.269058296,0.730941704,3005,223,0.074209651,
1046,64,123,187,0,1,Nirenberg,0,1,OK,#2b83ba,0.342245989,0.657754011,1949,188,0.096459723,
1047,46,67,113,0,0,Nirenberg,0,1,OK,#2b83ba,0.407079646,0.592920354,1767,113,0.063950198,
1048,55,105,160,0,1,Nirenberg,0,1,OK,#2b83ba,0.34375,0.65625,2202,161,0.07311535,
1049,85,129,214,0,0,Nirenberg,0,1,OK,#2b83ba,0.397196262,0.602803738,2520,214,0.084920635,
1050,58,71,129,0,0,Nirenberg,0,1,OK,#2b83ba,0.449612403,0.550387597,1331,129,0.096919609,
1051,79,133,212,0,0,Nirenberg,0,1,OK,#2b83ba,0.372641509,0.627358491,2013,212,0.10531545,
1052,68,88,156,0,0,Nirenberg,0,1,OK,#2b83ba,0.435897436,0.564102564,1959,156,0.079632466,
1053,6,16,22,0,0,Nirenberg,0,1,OK,#2b83ba,0.272727273,0.727272727,247,22,0.089068826,
1054,67,166,233,0,1,Nirenberg,0,1,OK,#2b83ba,0.287553648,0.712446352,2276,234,0.102811951,
1055,135,173,308,0,3,Nirenberg,0,1,OK,#2b83ba,0.438311688,0.561688312,1894,311,0.164202746,
1056,83,104,187,0,1,Nirenberg,0,1,OK,#2b83ba,0.443850267,0.556149733,2538,188,0.074074074,
1057,1,4,5,0,0,Nirenberg,0,1,OK,#2b83ba,0.2,0.8,48,5,0.104166667,
1058,0,1,1,0,0,Nirenberg,0,1,OK,#377eb8,0,1,0,1,1,
1059,8,13,21,0,0,Nirenberg,0,1,OK,#2b83ba,0.380952381,0.619047619,315,21,0.066666667,
1060,37,86,123,0,0,Nirenberg,0,1,OK,#2b83ba,0.300813008,0.699186992,2732,123,0.045021962,
1061,62,67,129,0,2,Nirenberg,0,1,OK,#2b83ba,0.480620155,0.519379845,2553,131,0.051312182,
1062,1,7,8,0,0,Nirenberg,0,1,OK,#2b83ba,0.125,0.875,276,8,0.028985507,
1063,0,2,2,0,0,Nirenberg,0,1,OK,#2b83ba,0,1,22,2,0.090909091,
1064,0,0,0,0,0,No votes,1,1,Tie,#ffffff,0,0,16,0,0,
1069,53,44,97,0,0,Taylor,1,0,OK,#d7191c,0.546391753,0.453608247,441,97,0.219954649,
1070,37,28,65,0,0,Taylor,1,0,OK,#d7191c,0.569230769,0.430769231,1086,65,0.05985267,
1071,98,72,170,0,1,Taylor,1,0,OK,#d7191c,0.576470588,0.423529412,1796,171,0.095211581,
1072,63,102,165,0,0,Nirenberg,0,1,OK,#2b83ba,0.381818182,0.618181818,1890,165,0.087301587,
1074,2,1,3,0,0,Taylor,1,0,OK,#d7191c,0.666666667,0.333333333,21,3,0.142857143,
1075,60,67,127,0,1,Nirenberg,0,1,OK,#2b83ba,0.472440945,0.527559055,2108,128,0.060721063,
1076,141,122,263,0,0,Taylor,1,0,OK,#d7191c,0.536121673,0.463878327,2755,263,0.095462795,
1077,60,149,209,0,1,Nirenberg,0,1,OK,#2b83ba,0.28708134,0.71291866,1604,210,0.130922693,
1078,10,34,44,0,1,Nirenberg,0,1,OK,#2b83ba,0.227272727,0.772727273,502,45,0.089641434,
1079,148,208,356,0,0,Nirenberg,0,1,OK,#2b83ba,0.415730337,0.584269663,4586,356,0.077627562,
1080,122,163,285,0,0,Nirenberg,0,1,OK,#2b83ba,0.428070175,0.571929825,5428,285,0.052505527,
1083,138,121,259,0,1,Taylor,1,0,OK,#d7191c,0.532818533,0.467181467,2780,260,0.09352518,
1084,116,164,280,0,2,Nirenberg,0,1,OK,#2b83ba,0.414285714,0.585714286,2087,282,0.135122185,
1085,49,83,132,0,1,Nirenberg,0,1,OK,#2b83ba,0.371212121,0.628787879,1673,133,0.079497908,
1086,173,195,368,0,4,Nirenberg,0,1,OK,#2b83ba,0.470108696,0.529891304,2341,372,0.15890645,
1087,73,70,143,0,2,Taylor,1,0,OK,#d7191c,0.51048951,0.48951049,1524,145,0.095144357,
1088,24,46,70,0,0,Nirenberg,0,1,OK,#2b83ba,0.342857143,0.657142857,986,70,0.070993915,
1089,26,36,62,0,2,Nirenberg,0,1,OK,#2b83ba,0.419354839,0.580645161,707,64,0.090523338,
1090,0,0,0,0,0,No votes,1,1,Tie,#ffffff,0,0,0,0,0,
1091,62,84,146,0,0,Nirenberg,0,1,OK,#2b83ba,0.424657534,0.575342466,1905,146,0.07664042,
1092,13,23,36,0,0,Nirenberg,0,1,OK,#2b83ba,0.361111111,0.638888889,828,36,0.043478261,
